file,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0422_민속악_판소리.wav,0.009597714059054852,2201.696613086627,5968.75,0.04539882487213087,4.970225811004639
0423_민속악_판소리.wav,0.017805080860853195,2217.4491310814196,6062.5,0.15230865324556767,12.870983123779297
0424_민속악_판소리.wav,0.010605573654174805,2279.3089026308876,6421.875,0.06640085876399325,5.004698753356934
Similar_Dance_00073_Cover_Arrangement_A.wav,0.015514204278588295,1631.6511893507607,3750.0,0.004218341348181895,4.494486331939697
Similar_Dance_00081_Cover_Arrangement_A.wav,0.018937481567263603,1484.0174795677892,2656.25,0.035923076923076926,4.461487293243408
Similar_Dance_00085_Cover_Arrangement_A.wav,0.009617394767701626,1436.4445443313864,2625.0,0.02572549019607843,11.484307289123535
Similar_Dance_00087_Cover_Arrangement_A.wav,0.013360127806663513,1529.667051363965,3312.5,0.00831933445324374,8.133038520812988
Similar_Trot_00162_Cover_Arrangement_A.wav,0.007760016713291407,1306.0942854268555,3187.5,0.00979106565259201,7.824611186981201
Similar_Trot_00266_Cover_Arrangement_A.wav,0.010624761693179607,1429.0211287273196,3515.625,0.014041463616089865,4.240272521972656
Similar_Trot_00568_Cover_Arrangement_B.wav,0.026755860075354576,1876.7289468219399,4515.625,0.0015278838808250573,6.855055809020996
Similar_Trot_00571_Cover_Arrangement_B.wav,0.006057854276150465,1318.8667276683025,3328.125,0.007613589848546869,8.22768783569336
일반남여_일반통합06_F_1536505292_35_경상_실내_09408.wav,0.12794992327690125,1397.1451880160153,4703.125,0.2843601895734597,7.224118709564209
일반남여_일반통합06_F_1536505292_35_경상_실내_09410.wav,0.08906418830156326,947.9995967022207,3671.875,0.30178571428571427,7.625662803649902
일반남여_일반통합06_F_1536505292_35_경상_실내_09412.wav,0.1451825052499771,1170.3898204001682,2171.875,0.2066115702479339,6.9577813148498535
통화_0029.wav,0.00016410314128734171,981.0421633991958,1765.625,0.0,6.509649753570557
통화_0030.wav,0.0008463499834761024,932.3803089813543,1609.375,0.02040816326530612,5.544375419616699
통화_0031.wav,0.0002547655312810093,937.8777581885957,2015.625,0.0,6.772301197052002
